#TeraSwitch Inc. (AS20326) Self-published IP Geolocation
#This file contains a self-published geofeed as defined in https://datatracker.ietf.org/doc/html/draft-google-self-published-geofeeds-02
#Last update: September 10, 2025
#Contact: noc@teraswitch.com
74.118.142.0/24,US,US-CA,Los Angeles,90012
204.16.241.0/24,US,US-PA,Pittsburgh,15212
204.16.242.0/24,US,US-PA,Pittsburgh,15212
204.16.243.0/24,US,US-PA,Pittsburgh,15212
204.16.244.0/24,US,US-PA,Pittsburgh,15212
204.16.245.0/24,US,US-PA,Pittsburgh,15212
205.196.166.0/23,US,US-PA,Pittsburgh,15212
2607:fdc0::/42,US,US-PA,Pittsburgh,15212
2607:fdc0:3c0::/42,US,US-VA,Ashburn,20147
2607:fdc0:700::/42,US,US-WA,Seattle,98121
2607:fdc0:740::/42,US,US-IL,Chicago,60616
31.58.56.0/24,NL,NL-NH,Amsterdam,1012
31.186.180.0/22,NL,NL-NH,Amsterdam,1012
37.202.193.0/24,DE,DE-HE,Frankfurt,60437
45.45.156.0/24,US,US-UT,Bluffdale,84065
45.139.225.0/24,JP,JP-13,Tokyo,140-0002
45.148.116.0/24,DE,DE-HE,Frankfurt,60437
45.192.251.0/24,US,US-NJ,Newark,07102
45.194.90.0/24,US,US-NJ,Newark,07102
45.195.82.0/23,US,US-NJ,Newark,07102
45.195.90.0/24,US,US-NJ,Newark,07102
45.195.106.0/23,US,US-NJ,Newark,07102
45.196.133.0/24,US,US-NJ,Newark,07102
45.196.193.0/24,US,US-NJ,Newark,07102
45.196.201.0/24,US,US-NJ,Newark,07102
45.198.87.0/24,DE,DE-HE,Frankfurt,60437
45.198.115.0/24,US,US-NJ,Newark,07102
45.198.117.0/24,DE,DE-HE,Frankfurt,60437
45.198.120.0/23,NL,NL-NH,Amsterdam,1012
45.198.158.0/24,GB,GB-LND,London,4LH
45.198.162.0/24,US,US-NJ,Newark,07102
45.198.252.0/23,US,US-NJ,Newark,07102
45.202.89.0/24,NL,NL-NH,Amsterdam,1012
45.202.100.0/23,NL,NL-NH,Amsterdam,1012
45.202.102.0/24,US,US-NJ,Newark,07102
45.202.115.0/24,NL,NL-NH,Amsterdam,1012
45.202.118.0/24,NL,NL-NH,Amsterdam,1012
45.202.126.0/24,NL,NL-NH,Amsterdam,1012
45.206.10.0/23,GB,GB-LND,London,4LH
45.206.12.0/23,GB,GB-LND,London,4LH
45.206.62.0/23,GB,GB-LND,London,4LH
45.207.0.0/23,US,US-NJ,Newark,07102
45.207.24.0/24,US,US-NJ,Newark,07102
45.207.25.0/24,NL,NL-NH,Amsterdam,1012
45.207.28.0/24,NL,NL-NH,Amsterdam,1012
45.207.30.0/24,NL,NL-NH,Amsterdam,1012
45.207.36.0/22,NL,NL-NH,Amsterdam,1012
45.207.44.0/24,NL,NL-NH,Amsterdam,1012
45.207.47.0/24,NL,NL-NH,Amsterdam,1012
45.207.48.0/21,NL,NL-NH,Amsterdam,1012
45.207.56.0/24,NL,NL-NH,Amsterdam,1012
45.207.61.0/24,NL,NL-NH,Amsterdam,1012
45.207.164.0/23,US,US-NJ,Newark,07102
45.207.174.0/23,US,US-NJ,Newark,07102
45.249.89.0/24,JP,JP-13,Tokyo,140-0002
62.171.232.0/21,DE,DE-HE,Frankfurt,60437
64.130.32.0/24,DE,DE-HE,Frankfurt,60437
64.130.33.0/24,US,US-UT,Bluffdale,84065
64.130.34.0/23,US,US-NJ,Newark,07102
64.130.36.0/23,US,US-NJ,Newark,07102
64.130.40.0/23,DE,DE-HE,Frankfurt,60437
64.130.42.0/23,NL,NL-NH,Amsterdam,1012
64.130.44.0/24,JP,JP-13,Tokyo,140-0002
64.130.45.0/24,US,US-NJ,Newark,07102
64.130.46.0/24,GB,GB-LND,London,4LH
64.130.47.0/24,DE,DE-HE,Frankfurt,60437
64.130.48.0/24,US,US-NJ,Newark,07102
64.130.49.0/24,JP,JP-13,Tokyo,140-0002
64.130.50.0/24,DE,DE-HE,Frankfurt,60437
64.130.51.0/24,US,US-NJ,Newark,07102
64.130.52.0/24,NL,NL-NH,Amsterdam,1012
64.130.53.0/24,US,US-UT,Bluffdale,84065
64.130.54.0/24,US,US-PA,Pittsburgh,15212
64.130.55.0/24,NL,NL-NH,Amsterdam,1012
64.130.56.0/24,US,US-PA,Pittsburgh,15212
64.130.57.0/24,DE,DE-HE,Frankfurt,60437
64.130.58.0/24,US,US-CA,Los Angeles,90012
64.130.59.0/24,US,US-NJ,Newark,07102
64.130.61.0/24,IE,IE-D,Dublin,D12
64.130.62.0/24,NL,NL-NH,Amsterdam,1012
64.130.63.0/24,GB,GB-LND,London,4LH
64.239.32.0/24,NL,NL-NH,Amsterdam,1012
64.239.33.0/24,NL,NL-NH,Amsterdam,1012
64.239.35.0/24,DE,DE-HE,Frankfurt,60437
64.239.116.0/24,GB,GB-LND,London,4LH
64.239.117.0/24,US,US-NJ,Newark,07102
67.209.52.0/24,GB,GB-LND,London,4LH
67.209.53.0/24,KR,KR-11,Seoul
67.209.54.0/24,SG,SG-01,Singapore,139963
67.209.55.0/24,SG,SG-01,Singapore,139963
74.118.136.0/24,NL,NL-NH,Amsterdam,1012
74.118.137.0/24,US,US-PA,Pittsburgh,15212
74.118.138.0/24,US,US-PA,Pittsburgh,15212
74.118.139.0/24,NL,NL-NH,Amsterdam,1012
74.118.140.0/24,NL,NL-NH,Amsterdam,1012
74.118.141.0/24,US,US-PA,Pittsburgh,15212
74.118.143.0/24,NL,NL-NH,Amsterdam,1012
82.26.96.0/24,US,US-UT,Bluffdale,84065
82.26.97.0/24,JP,JP-13,Tokyo,140-0002
82.26.98.0/24,DE,DE-HE,Frankfurt,60437
82.26.99.0/24,US,US-NJ,Newark,07102
82.163.56.0/22,NL,NL-NH,Amsterdam,1012
82.163.96.0/21,US,US-UT,Bluffdale,84065
83.147.4.0/22,NL,NL-NH,Amsterdam,1012
86.110.33.0/24,US,US-NJ,Newark,07102
89.106.8.0/23,GB,GB-LND,London,4LH
89.106.10.0/23,DE,DE-HE,Frankfurt,60437
89.106.74.0/24,NL,NL-NH,Amsterdam,1012
89.144.47.0/24,US,US-NJ,Newark,07102
92.114.40.0/22,NL,NL-NH,Amsterdam,1012
95.155.160.0/20,GB,GB-LND,London,4LH
95.214.176.0/24,US,US-NJ,Newark,07102
96.62.200.0/21,US,US-NJ,Newark,07102
102.135.20.0/24,US,US-UT,Bluffdale,84065
102.212.7.0/24,DE,DE-HE,Frankfurt,60437
103.110.64.0/24,NL,NL-NH,Amsterdam,1012
104.164.63.0/24,US,US-UT,Bluffdale,84065
107.182.130.0/24,NL,NL-NH,Amsterdam,1012
109.111.56.0/22,IE,IE-D,Dublin,D12
141.98.216.0/24,US,US-NJ,Newark,07102
141.98.217.0/24,IE,IE-D,Dublin,D12
141.98.218.0/24,US,US-TX,Dallas,75207
141.98.219.0/24,US,US-PA,Pittsburgh,15212
142.214.136.0/22,IE,IE-D,Dublin,D12
143.14.176.0/20,US,US-UT,Bluffdale,84065
143.20.238.0/24,JP,JP-13,Tokyo,140-0002
145.79.176.0/21,US,US-NJ,Newark,07102
145.79.184.0/22,US,US-NJ,Newark,07102
151.243.21.0/24,NL,NL-NH,Amsterdam,1012
151.243.164.0/24,US,US-NJ,Newark,07102
151.243.165.0/24,US,US-NJ,Newark,07102
151.243.166.0/24,US,US-NJ,Newark,07102
151.243.167.0/24,US,US-NJ,Newark,07102
151.243.244.0/24,US,US-NJ,Newark,07102
151.245.8.0/21,US,US-NJ,Newark,07102
151.245.168.0/21,US,US-NJ,Newark,07102
154.6.156.0/22,US,US-PA,Pittsburgh,15212
154.6.180.0/22,US,US-PA,Pittsburgh,15212
154.82.16.0/24,US,US-NJ,Newark,07102
154.82.19.0/24,NL,NL-NH,Amsterdam,1012
154.82.193.0/24,GB,GB-LND,London,4LH
154.82.195.0/24,GB,GB-LND,London,4LH
154.83.129.0/24,NL,NL-NH,Amsterdam,1012
